Type	Section	Division	Group	Class	Code	Class type	V4.3 Equivalent	Code(4.3)	Subterranean-Any	Subterranean-Terrestrial	Actor_Subterranean-Terrestrial	Subterranean-Freshwater	Actor_Subterranean-Freshwater	Subterranean-Marine	Actor_Subterranean-Marine	Stakeholders	References	Assessed_quantitatively	Assessed_qualitatively	Notes
Biotic	Cultural	Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting	Intellectual and representative interactions with natural environment	Characteristics of living systems that enable scientific investigation or the creation of traditional ecological knowledge	3.1.2.1	By type of living system or environmental setting	Scientific	3.1.2.1	1	1	Model organisms (e.g., Meta, Hydromantes)	1	Model organisms (e.g., Astyanax, Asellus, Niphargus) and non model organisms Copepoda	1	Model organisms (e.g., Atyidae; Munidopsis polymorpha; Remipedia; carnivorous sponges)	Scientists; Municipal water providers;  Farmers	Mammola, S., Lunghi, E., Bilandžija, H., Cardoso, P., Grimm, V., Schmidt, S. I., ... & Martínez, A. (2021). Collecting eco‐evolutionary data in the dark: Impediments to subterranean research and how to overcome them. Ecology and evolution, 11(11), 5911-5926 (see Figure 3); Couton, M., Studer, A., Hürlemann, S. et al. Integrating citizen science and environmental DNA metabarcoding to study biodiversity of groundwater amphipods in Switzerland. Sci Rep 13, 18097 (2023). https://doi.org/10.1038/s41598-023-44908-8; Korbel KL, Hose GC. Monitoring Groundwater Health Using Citizen Scientists in Semi-Arid Regional Australia. Ground Water. 2024 Apr 4. doi: 10.1111/gwat.13407. Epub ahead of print. PMID: 38572675. 	1	1	Model organisms
Biotic	Cultural	Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting	Intellectual and representative interactions with natural environment	Characteristics of living systems that enable education and training	3.1.2.2	By type of living system or environmental setting	Educational	3.1.2.2	1	1	Ecotourism in show caves	1	Ecotourism in show caves (e.g. Proteus in Postonja cave)	1	Ecotourism in anchialine systems (e.g., Jameos del Agua touristic center)	Any (society at large)				-
Biotic	Cultural	Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting	Intellectual and representative interactions with natural environment	Characteristics of living systems that are resonant in terms of culture or heritage	3.1.2.3	By type of living system or environmental setting	Heritage, cultural	3.1.2.3	1	1	Cave fauna in local folklore	1	e.g., Proteus in Slovenian culture (https://untappd.com/b/humanfish-brewery-human-fish-pale-ale/236777)	1	Cenotes fauna in traditional Mexican culture; anchialine pools fauna in Hawai'i and Indonesia; Among the most emblematic and charismatic species inhabiting marine caves are the Mediterranean monk seal Monachus monachus and the red coral Corallium rubrum ; Marine caves of paleontological, archeological and paleo-climatological interest (e.g. Grotte Cosquer in the Marseille region, the Elephant’s Cave in Crete. biostalactites in the ‘lu Lampiùne’ cave in Italy)	Any (society at large)	Gerovasileiou V, Bianchi CN (2021) Mediterranean marine caves: a synthesis of current knowledge. Oceanography and Marine Biology : An Annual Review, 59: 1-88.	0		-
Biotic	Cultural	Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting	Intellectual and representative interactions with natural environment	Characteristics of living systems that enable aesthetic experiences	3.1.2.4	By type of living system or environmental setting	Aesthetic	3.1.2.5	1	1	Ecotourism in show caves	1	Ecotourism in show caves	1	Boat tours, snorkelling and scuba diving in marine/anchialine caves	Any (society at large)	Danielopol, D. L. (1998). Conservation and protection of the biota of karst: assimilation of scientific ideas through artistic perception. Journal of Cave and Karst Studies 60, 67. ; Salomidi, M., Katsanevakis, S., Borja, A., Braeckman, U., Damalas, D., Galparsoro, I., Mifsud, R., Mirto, S., Pascual, M., Pipitone, C., Rabaut, M., Todorova, V., Vassilopoulou, V. & Vega Fernandez, T. 2012. Assessment of goods and services, vulnerability, and conservation status of European seabed biotopes: A stepping stone towards ecosystem-based marine spatial management. Mediterranean Marine Science 13, 49–88.	0		-
Biotic	Cultural	Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting	Spiritual, symbolic and other interactions with natural environment	Elements of living systems that have symbolic meaning	3.2.1.1	By type of living system or environmental setting	Symbolic	3.2.1.1	1	1	Bats	1	e.g., Proteus	1	Red shrimp in anchialine pools (Halocaridina rubra, Parhyppolyte)	Any (society at large)				-
Biotic	Cultural	Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting	Spiritual, symbolic and other interactions with natural environment	Elements of living systems that have sacred or religious meaning	3.2.1.2	By type of living system or environmental setting	Sacred and/or religious	3.2.1.2	1	1	NA	1	NA	1	Red shrimp in anchialine pools (Halocaridina rubra, Parhyppolyte)	Any (society at large)				-
Biotic	Cultural	Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting	Spiritual, symbolic and other interactions with natural environment	Elements of living systems used for entertainment or representation	3.2.1.3	By type of living system or environmental setting	Entertainment	3.1.2.4	1	1	Documentaries	1	Documentaries	1	Documentaries	Any (society at large)				-
Biotic	Cultural	Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting	Other biotic characteristics that have a non-use value	Characteristics or features of living systems that have an existence value	3.2.2.1	By type of living system or environmental setting	Existence	3.2.2.1	1	1	Cave ecosystems	1	Springs	1	Marine cave ecosystems, costal aquifers	Any (society at large)		0	0	https://en.wikipedia.org/wiki/Existence_value#:~:text=Existence%20values%20are%20a%20class,other%20organism%20or%20thing%20exists.
Biotic	Cultural	Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting	Other biotic characteristics that have a non-use value	Characteristics or features of living systems that have an option or bequest value	3.2.2.2	By type of living system or environmental setting	Bequest	3.2.2.2	1	1	Cave ecosystems	1	Springs	1	Marine cave ecosystems, costal aquifers	Any (society at large)		0	0	http://www.coastalwiki.org/wiki/Non-use_value:_bequest_value_and_existence_value#:~:text=Bequest%20value%3A%20The%20current%20generation,access%20to%20resources%20and%20opportunities.
Biotic	Cultural	Other characteristics of living systems that have cultural significance	Other	Other	3.3.X.X	Use nested codes to allocate other cultural services from living systems to appropriate Groups and Classes	Not recognised in V4.3	N/A	-	-	-	-	-	-	-	-	-	-	-	-
Abiotic	Provisioning	Water 	Surface water used for nutrition, materials or energy 	Surface water for drinking	4.2.1.1	By amount, type, source	Surface water for drinking	1.1.2.1	1	0	NA	1	Surface water sources fed by ground water (e.g. oasis, sping)	1	Anchialine pools in Hawai'i ; submarine springs traditionally used by sailors in the Mediterranean	Any (society at large)	NA	NA	NA	-
Abiotic	Provisioning	Water 	Surface water used for nutrition, materials or energy 	Surface water used as a material (non-drinking purposes)	4.2.1.2	By amount & source	Surface water for non-drinking purposes	1.2.2.1	1	0	NA	1	Surface water sources fed by ground water (e.g. oasis, sping)	0	NA	Any (society at large)	NA	NA	NA	-
Abiotic	Provisioning	Water 	Surface water used for nutrition, materials or energy 	Freshwater surface water used as an energy source	4.2.1.3	By amount, type, source	Not recognised in V4.3	N/A	1	0	NA	1	Surface water sources fed by ground water (e.g. oasis, sping)	0	NA	Any (society at large)				-
Abiotic	Provisioning	Water 	Surface water used for nutrition, materials or energy 	Coastal and marine water used as energy source	4.2.1.4	By amount, type, source	Not recognised in V4.3	N/A	1	0	NA	1	Surface water sources fed by ground water (e.g. oasis, sping)	1	Wave energy production by maritime natural caves	Any (society at large)	Monteiro, W. M. L., Sarmento, A., Monteiro, C. P., & Monteiro, J. A. L. (2021). Wave energy production by a maritime Natural Cave: performance characterization and the power take-off design. Journal of Ocean Engineering and Marine Energy, 7(3), 327-337	1	1	-
Abiotic	Provisioning	Water 	Ground water for used for nutrition, materials or energy 	Ground (and subsurface) water for drinking	4.2.2.1	By amount, type, source	Ground water for drinking	1.1.2.2	1	0	NA	1	Aquifers	1	Submarine springs in ancient times in the Adriatic	Any (society at large)	Morris, B.L., Lawrence, A.R.L., Chilton, P.J.C., Adams, B., Calow, R.C., and Klinck, B.A. 2003. Groundwater and its Susceptibility to Degradation: A Global Assessment of the Problem of Options for Management. Early Warning and Assessment Report series, RS. 03-3. United Nations Environment Programme, Nairobi, Kenya	1	1	-
Abiotic	Provisioning	Water 	Ground water for used for nutrition, materials or energy 	Ground water (and subsurface) used as a material (non-drinking purposes)	4.2.2.2	By amount & source	Ground water as source of energy	1.2.2.2	1	0	NA	1	Aquifers	1	Wave energy production by maritime natural caves	Any (society at large)	Morris, B.L., Lawrence, A.R.L., Chilton, P.J.C., Adams, B., Calow, R.C., and Klinck, B.A. 2003. Groundwater and its Susceptibility to Degradation: A Global Assessment of the Problem of Options for Management. Early Warning and Assessment Report series, RS. 03-3. United Nations Environment Programme, Nairobi, Kenya	1	1	-
Abiotic	Provisioning	Water 	Ground water for used for nutrition, materials or energy 	Ground water (and subsurface) used as an energy source	4.2.2.3	By amount & source	Ground water for non-drinking purposes	N/A	1	0	NA	1	Aquifers	1	Wave energy production by maritime natural caves	Any (society at large)	Morris, B.L., Lawrence, A.R.L., Chilton, P.J.C., Adams, B., Calow, R.C., and Klinck, B.A. 2003. Groundwater and its Susceptibility to Degradation: A Global Assessment of the Problem of Options for Management. Early Warning and Assessment Report series, RS. 03-3. United Nations Environment Programme, Nairobi, Kenya ; Monteiro, W. M. L., Sarmento, A., Monteiro, C. P., & Monteiro, J. A. L. (2021). Wave energy production by a maritime Natural Cave: performance characterization and the power take-off design. Journal of Ocean Engineering and Marine Energy, 7(3), 327-337	1	1	-
Abiotic	Provisioning	Water 	Other aqueous ecosystem outputs	Other	4.2.X.X	Use nested codes to allocate other provisioning services from non-living systems to appropriate Groups and Classes	Not recognised in V4.3	N/A	-	-	-	-	-	-	-	-	-	-	-	-
Abiotic	Provisioning	Non-aqueous natural abiotic ecosystem outputs	Mineral substances used for nutrition, materials or energy 	Mineral substances used for nutritional purposes	4.3.1.1	Amount by type 	Minerals	N/A	1	1	Different types of minerals (e.g., salt) extracted from caves, quarries and mineshafts	0	NA	1	Salt	Mining companies				-
Abiotic	Provisioning	Non-aqueous natural abiotic ecosystem outputs	Mineral substances used for nutrition, materials or energy 	Mineral substances used for material purposes	4.3.1.2	Amount by type 	Solid	N/A	1	1	Different types of minerals extracted from quarries and mineshafts	0	NA	0	NA	Mining companies				-
Abiotic	Provisioning	Non-aqueous natural abiotic ecosystem outputs	Mineral substances used for nutrition, materials or energy 	Mineral substances used for as an energy source 	4.3.1.3	Amount by type 	N/A	N/A	1	1	Different types of minerals extracted from quarries and mineshafts	0	NA	0	NA	Mining companies				-
Abiotic	Provisioning	Non-aqueous natural abiotic ecosystem outputs	Non-mineral substances or ecosystem properties used for nutrition, materials or energy 	Non-mineral substances or ecosystem properties used for nutritional purposes	4.3.2.1	Amount by type 	Non-mineral	N/A	0	0	NA	0	NA	0	NA	NA				-
Abiotic	Provisioning	Non-aqueous natural abiotic ecosystem outputs	Non-mineral substances or ecosystem properties used for nutrition, materials or energy 	Non-mineral substances used for materials 	4.3.2.2	Amount by type 	Gas	N/A	1	1	Different types of non-mineral extracted from quarries and mineshafts (e.g. coal)	0	NA	0	NA	Mining companies				-
Abiotic	Provisioning	Non-aqueous natural abiotic ecosystem outputs	Non-mineral substances or ecosystem properties used for nutrition, materials or energy 	Wind energy	4.3.2.3	Amount by type 	Wind	N/A	0	0	NA	0	NA	0	NA	NA				-
Abiotic	Provisioning	Non-aqueous natural abiotic ecosystem outputs	Non-mineral substances or ecosystem properties used for nutrition, materials or energy 	Solar energy	4.3.2.4	Amount by type 	Solar	N/A	0	0	NA	0	NA	0	NA	NA				-
Abiotic	Provisioning	Non-aqueous natural abiotic ecosystem outputs	Non-mineral substances or ecosystem properties used for nutrition, materials or energy 	Geothermal	4.3.2.5	Amount by type 	Geo-thermal	N/A	1	1	Geothermal energy	1	Geothermal energy	1	Geothermal energy	Any (society at large)				-
Abiotic	Provisioning	Non-aqueous natural abiotic ecosystem outputs	Other mineral or non-mineral substances or ecosystem properties used for nutrition, materials or energy 	Other	4.3.X.X	Use nested codes to allocate other provisioning services from non-living systems to appropriate Groups and Classes	Not recognised in V4.3	N/A	-	-	-	-	-	-	-	-	-	-	-	-
Abiotic	Regulation & Maintenance	Transformation of biochemical or physical inputs to ecosystems	Mediation of waste, toxics and other nuisances by non-living processes	Dilution by freshwater and marine ecosystems   	5.1.1.1	Amount by type 	Dilution by atmosphere, freshwater and marine ecosystems	2.1.2.2	1	0	NA	1	Groundwater systems	1	Groundwater systems	Any (society at large)	Griebler, C., & Avramov, M. (2015). Groundwater ecosystem services: a review. Freshwater Science, 34(1), 355-367.			-
Abiotic	Regulation & Maintenance	Transformation of biochemical or physical inputs to ecosystems	Mediation of waste, toxics and other nuisances by non-living processes	Dilution by atmosphere	5.1.1.2	Amount by type 	Dilution by atmosphere, freshwater and marine ecosystems	2.1.2.2	1	1	NA	0	NA	0	NA	Any (society at large)				-
Abiotic	Regulation & Maintenance	Transformation of biochemical or physical inputs to ecosystems	Mediation of waste, toxics and other nuisances by non-living processes	Mediation by other chemical or physical means (e.g. via Filtration, sequestration, storage or accumulation)	5.1.1.3	Amount by type 	Mediation of waste, toxics and other nuisances, by natural chemical and physical processes	N/A	1	1	Terrestrial systems	1	Groundwater systems	1	Groundwater systems	Any (society at large)	Griebler, C., & Avramov, M. (2015). Groundwater ecosystem services: a review. Freshwater Science, 34(1), 355-367.			-
Abiotic	Regulation & Maintenance	Transformation of biochemical or physical inputs to ecosystems	Mediation of nuisances of anthropogenic origin	Mediation of nuisances by abiotic structures or processes	5.1.2.1	Amount by type 	Not recognised in V4.3	N/A	0	0	NA	0	NA	0	NA	NA				-
Abiotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Regulation of baseline flows and extreme events	Mass flows	5.2.1.1	Amount by type 	Mediation of flows by natural abiotic structures	N/A	1	0	NA	1	Groundwater systems	1	Groundwater systems	Any (society at large)				-
Abiotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Regulation of baseline flows and extreme events	Liquid flows	5.2.1.2	Amount by type 	Not recognised in V4.3	N/A	1	1	NA	1	Groundwater systems	1	Groundwater systems	Any (society at large)	Griebler, C., & Avramov, M. (2015). Groundwater ecosystem services: a review. Freshwater Science, 34(1), 355-367.			-
Abiotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Regulation of baseline flows and extreme events	Gaseous flows	5.2.1.3	Amount by type 	Not recognised in V4.3	N/A	1	1	NA	1	Groundwater systems	1	Groundwater systems	Any (society at large)	Griebler, C., & Avramov, M. (2015). Groundwater ecosystem services: a review. Freshwater Science, 34(1), 355-367.			-
Abiotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Maintenance of physical, chemical, abiotic conditions	Maintenance and regulation by inorganic natural chemical and physical processes	5.2.2.1	Amount by type 	Maintenance of physical, chemical, abiotic conditions	N/A	1	1	NA	1	Groundwater systems	1	Groundwater systems	Any (society at large)	Griebler, C., & Avramov, M. (2015). Groundwater ecosystem services: a review. Freshwater Science, 34(1), 355-367.			-
Abiotic	Regulation & Maintenance	Other type of regulation and maintenance service by abiotic processes	Other	Other	5.3.X.X	Use nested codes to allocate other provisioning services from non-living systems to appropriate Groups and Classes	Not recognised in V4.3	N/A	-	-	-	-	-	-	-	-	-	-	-	-
Abiotic	Cultural	Direct, in-situ and outdoor interactions with natural physical systems that depend on presence in the environmental setting	Physical and experiential interactions with natural abiotic components of the environment	Natural, abiotic characteristics of nature that enable active or passive physical and experiential interactions	6.1.1.1	Amount by type	Not recognised in V4.3	N/A	1	1	Recreational use of caves ; Medical caves ; Show caves tourism	1	Recreational use of caves ; Cave diving ; Thermal springs ; Show caves tourism	1	Cave diving ; Boat tours, snorkelling and scuba diving in marine/anchialine caves	Cavers ; Public	Wilson, J. M. (2019). Recreational caving. In Encyclopedia of Caves (pp. 861-870). Academic Press.			-
Abiotic	Cultural	Direct, in-situ and outdoor interactions with natural physical systems that depend on presence in the environmental setting	Intellectual and representative interactions with abiotic components of the natural environment	Natural, abiotic characteristics of nature that enable intellectual interactions	6.1.2.1	Amount by type	Not recognised in V4.3	N/A	1	1	Subterranean sites used for religious purposes	1	Subterranean sites used for religious purposes	1	Subterranean sites used for religious purposes	Any (society at large)	Sponsel, L. E. (2015). Sacred caves of the world: illuminating the darkness. The changing world religion map: sacred places, identities, practices and politics, 503-522. ; Moyes, H. (Ed.). (2012). Sacred darkness: a global perspective on the ritual use of caves. University Press of Colorado.			-
Abiotic	Cultural	Indirect, remote, often indoor interactions with physical systems that do not require presence in the environmental setting	Spiritual, symbolic and other interactions with the abiotic components of the natural environment	Natural, abiotic characteristics of nature that enable spiritual, symbolic and other interactions	6.2.1.1	Amount by type	Not recognised in V4.3	N/A	1	1	Subterranean sites used for religious purposes	1	Subterranean sites used for religious purposes	1	Subterranean sites used for religious purposes	Any (society at large)	Sponsel, L. E. (2015). Sacred caves of the world: illuminating the darkness. The changing world religion map: sacred places, identities, practices and politics, 503-522. ; Moyes, H. (Ed.). (2012). Sacred darkness: a global perspective on the ritual use of caves. University Press of Colorado.			-
Abiotic	Abiotic	Indirect, remote, often indoor interactions with physical systems that do not require presence in the environmental setting	Other abiotic characteristics that have a non-use value 	Natural, abiotic characteristics or features of nature that have either an existence, option or bequest value	6.2.2.1	Amount by type	Not recognised in V4.3	N/A	1	1	Importance of local caves	1	Importance of local springs	1	Importance of local marine caves or cenotes	Any (society at large)				-
Abiotic	Cultural	Other abiotic characteristics of nature that have cultural significance 	Other	Other	6.3.X.X	Use nested codes to allocate other provisioning services from non-living systems to appropriate Groups and Classes	Not recognised in V4.3	N/A	-	-	-	-	-	-	-	-	-	-	-	-
